"id"	"forward_rate"	"reverse_rate"	"_original_reverse_rate"
"CPLX-123_RXN"	1	9.3E-06	9.3E-06
"CPLX-124_RXN"	1	1E-06	1E-06
"CPLX-125_RXN"	1	2.17E-05	0.00016
"CPLX-127_RXN"	1	2E-07	2E-07
"CPLX-128_RXN"	1	2E-07	2E-07
"CPLX-172_RXN"	1	0.0004	0.0004
"CPLX0-226_RXN"	1	5.2E-05	5.2E-05
"CPLX0-228_RXN"	1	2.87E-04	1E-06
"CPLX0-2781_RXN"	1	1E-06	1E-06
"CPLX0-6_RXN"	1	8E-07	8E-07
"CPLX0-7541_RXN"	1	1E-06	1E-06
"CPLX0-7605_RXN"	1	0.0001562	0.0001562
"CPLX0-7606_RXN"	1	9E-07	9E-07
"CPLX0-7618_RXN"	1	2.5E-08	2.5E-08
"CPLX0-7619_RXN"	1	5E-09	5E-09
"CPLX0-7620_RXN"	1	1.2E-06	1.2E-06
"CPLX0-7650_RXN"	1	1E-05	1E-05
"CPLX0-7651_RXN"	1	1E-06	1E-06
"CPLX0-7670_RXN"	1	0.000536	1E-06
"CPLX0-7671_RXN"	1	5.7E-04	1E-06
"CPLX0-7677_RXN"	1	1.15E-15	1.15E-15
"CPLX0-7680_RXN"	1	1E-15	1E-15
"CPLX0-7681_RXN"	1	1E-06	1E-06
"CPLX0-7689_RXN"	1	8E-05	8E-05
"CPLX0-7701_RXN"	1	0.00010066	0.00010066
"CPLX0-7702_RXN"	1	2E-21	2E-21
"CPLX0-7714_RXN"	1	1E-06	1E-06
"CPLX0-7715_RXN"	1	1E-06	1E-06
"CPLX0-7716_RXN"	1	1E-06	1E-06
"CPLX0-7729_RXN"	1	1E-06	1E-06
"CPLX0-7735_RXN"	1	1E-06	1E-06
"CPLX0-7736_RXN"	1	6E-05	6E-05
"CPLX0-7739_RXN"	1	2E-06	2E-06
"CPLX0-7742_RXN"	1	6.2E-06	6.2E-06
"CPLX0-7743_RXN"	1	6.2E-06	6.2E-06
"CPLX0-7746_RXN"	1	1E-06	1E-06
"CPLX0-7749_RXN"	1	1E-06	1E-06
"CPLX0-7750_RXN"	1	1E-06	1E-06
"CPLX0-7751_RXN"	1	1E-06	1E-06
"CPLX0-7752_RXN"	1	1E-06	1E-06
"CPLX0-8026_RXN"	1	1E-06	1E-06
"CPLX0-8027_RXN"	1	1E-06	1E-06
"CPLX0-8047_RXN"	1	1E-06	1E-06
"CPLX0-8048_RXN"	1	1E-06	1E-06
"CPLX0-8051_RXN"	1	2E-05	1.7E-07
"CPLX0-8054_RXN"	1	1E-06	1E-06
"CPLX0-8055_RXN"	1	7.15E-06	7.15E-06
"CPLX0-8056_RXN"	1	1E-05	1E-05
"CPLX0-8057_RXN"	1	2E-05	2E-05
"CPLX0-8058_RXN"	1	1E-06	1E-06
"CPLX0-8060_RXN"	1	1E-06	1E-06
"CPLX0-8061_RXN"	1	1E-06	1E-06
"CPLX0-8062_RXN"	1	1E-06	1E-06
"CPLX0-8069_RXN"	1	1E-06	1E-06
"CPLX0-8070_RXN"	1	1E-06	1E-06
"CPLX0-8071-R--ALLANTOIN_RXN"	1	1E-06	1E-06
"CPLX0-8071-S-ALLANTOIN_RXN"	1	1E-06	1E-06
"CPLX0-8074_RXN"	1	1E-06	1E-06
"CPLX0-8076_RXN"	1	1E-06	1E-06
"CPLX0-8079_RXN"	1	1E-06	1E-06
"CPLX0-8083_RXN"	1	1E-07	1E-07
"CPLX0-8085_RXN"	1	1E-06	1E-06
"CPLX0-8088_RXN"	1	1E-06	1E-06
"CPLX0-8161_RXN"	1	1E-06	1E-06
"CPLX0-8162_RXN"	1	1E-06	1E-06
"MONOMER-2720_RXN"	1	1E-06	1E-06
"MONOMER-47_RXN"	1	1E-06	1E-06
"MONOMER-48_RXN"	1	4.5E-11	4.5E-11
"MONOMER-51-3-KETO-ADIPYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-3-OXOPALMITOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-ACETOACETYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-BUTYRYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-10260_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-10267_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-10284_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-15244_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-196_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-650_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD-9965_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-1163_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2105_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2106_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2107_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2123_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2171_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2224_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2232_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2244_RXN"	1	1E-06	1E-06
"MONOMER-51-CPD0-2253_RXN"	1	1E-06	1E-06
"MONOMER-51-HEXANOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-K-HEXANOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-LAUROYLCOA-CPD_RXN"	1	1E-06	1E-06
"MONOMER-51-OH-HEXANOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-OLEOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-PALMITYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-PROPIONYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-S-3-HYDROXYBUTANOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-STEAROYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-51-TETRADECANOYL-COA_RXN"	1	1E-06	1E-06
"MONOMER-52_RXN"	1	2.2E-07	2.2E-07
"MONOMER-53_RXN"	1	0.00016	0.00016
"MONOMER-54_RXN"	1	2E-05	2E-05
"MONOMER-55_RXN"	1	1E-06	1E-06
"MONOMER-56_RXN"	1	1E-06	1E-06
"MONOMER-57_RXN"	1	1E-06	1E-06
"MONOMER-58_RXN"	1	0.00075	0.00075
"MONOMER-59_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD-10330_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD-15818_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD0-1108_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD0-1110_RXN"	1	1E-06	1E-06
"MONOMER0-1301_RXN"	1	1E-06	1E-06
"MONOMER0-1441_RXN"	1	2.7E-05	2.7E-05
"MONOMER0-155_RXN"	1	0.00019	1E-06
"CPLX0-7796_EQUILIBRIUM_RXN"	1	0.0002	0.0002
"MONOMER0-158_RXN"	1	0.0002	0.0002
"MONOMER0-159_RXN"	1	0.0009	0.0009
"MONOMER0-160_RXN"	1	2.9E-08	2.9E-08
"MONOMER0-161_RXN"	1	1E-06	1E-06
"MONOMER0-162_RXN"	1	1.7E-05	1.7E-05
"MONOMER0-163_RXN"	1	1.369E-05	0.0037
"MONOMER0-164_RXN"	1	1E-06	1E-06
"MONOMER0-165_RXN"	1	3.3E-06	3.3E-06
"MONOMER0-1781_RXN"	1	1E-09	1E-09
"MONOMER0-183_RXN"	1	0.005	0.005
"MONOMER0-2081_RXN"	1	1E-06	1E-06
"MONOMER0-2101-CPD-12537_RXN"	1	1E-06	1E-06
"MONOMER0-2162_RXN"	1	1E-06	1E-06
"MONOMER0-2201_RXN"	1	9.4E-06	9.4E-06
"MONOMER0-2221_RXN"	1	1E-06	1E-06
"MONOMER0-2261-CPD-16168_RXN"	1	1E-06	1E-06
"MONOMER0-2341-CPD0-1122_RXN"	1	1E-06	1E-06
"MONOMER0-2341-CPD0-1123_RXN"	1	1E-06	1E-06
"MONOMER0-2421_RXN"	1	1E-06	1E-06
"MONOMER0-2461_RXN"	1	1E-06	1E-06
"MONOMER0-2482-CPD-15629_RXN"	1	1E-06	1E-06
"MONOMER0-46_RXN"	1	1E-06	1E-06
"MONOMER0-49_RXN"	1	1E-06	1E-06
"MONOMER0-562_RXN"	1	1E-06	1E-06
"MONOMER0-941_RXN"	1	1E-06	1E-06
"PUTA-CPLXBND_RXN"	1	3.9E-04	1E-06
"FNR-4FE-4S_RXN"	1	1E-06	1E-06
"ARCB-OXYGEN_RXN"	1	1E-06	1E-06
"BAES-INDOLE_RXN"	1	1E-06	1E-06
"BASS-FE+3_RXN"	1	1E-06	1E-06
"DCUS-SUC_RXN"	1	1E-06	1E-06
"NARX-NITRATE_RXN"	1	3.5E-05	3.5E-05
"PHOQ-CA+2_RXN"	1	3.7E-05	3.7E-05
"PHOR-Pi-CPLX_RXN"	1	1E-08	1E-08
