"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"aidB"	"EG11811"			"CPLX0-7691"	"CPLX0-7691"	"Tetramer"
"ulaR"	"G7854"	"G7854-MONOMER"			"G7854-MONOMER"	
"ytfA"	"G7863"			"G7863-MONOMER"	"G7863-MONOMER"	"Predicted"
"ytfH"	"G7869"			"G7869-MONOMER"	"G7869-MONOMER"	"Predicted"
"treR"	"EG12202"	"CPLX0-7854"			"CPLX0-7854"	
"bdcR"	"G7882"			"G7882-MONOMER"	"G7882-MONOMER"	"Predicted"
"idnR"	"G7891"	"MONOMER0-1301"			"MONOMER0-1301"	
"fecR"	"EG10292"			"EG10292-MONOMER"	"EG10292-MONOMER"	"Regulator for fec operon, periplasmic"
"fecI"	"EG10291"			"PD00440"	"PD00440"	"Sigma 19 factor"
"yjhU"	"G7909"			"G7909-MONOMER"	"G7909-MONOMER"	"Predicted"
"yjhI"	"G7912"			"G7912-MONOMER"	"G7912-MONOMER"	"Predicted"
"sgcR"	"G7913"			"G7913-MONOMER"	"G7913-MONOMER"	"Predicted"
"uxuR"	"EG20249"	"EG20249-MONOMER"			"EG20249-MONOMER"	
"yjiE"	"G7924"	"G7924-MONOMER"			"G7924-MONOMER"	"Had been CPLX0-8075 but that is an oxidized form"
"yjiR"	"G7936"			"G7936-MONOMER"	"G7936-MONOMER"	"Putative regulator"
"yjjM"	"G7944"			"G7944-MONOMER"	"G7944-MONOMER"	"Predicted"
"yjjQ"	"G7947"			"G7947-MONOMER"	"G7947-MONOMER"	"Predicted"
"bglJ"	"G7948"			"CPLX0-7916"	"CPLX0-7916"
"yjjJ"	"EG12342"			"EG12342-MONOMER"	"EG12342-MONOMER"	"Predicted"
"trpR"	"EG11029"	"CPLX-125"			"CPLX-125"	
"rob"	"EG11366"			"PD04418"	"PD04418"	
"creB"	"EG11218"		"PHOSPHO-CREB"		"PHOSPHO-CREB"	
"arcA"	"EG10061"		"PHOSPHO-ARCA"		"PHOSPHO-ARCA"	
"dgoR"	"G7789"			"G7790-MONOMER"	"G7790-MONOMER"	"Predicted"
"hdfR"	"EG11449"			"EG11449-MONOMER"	"EG11449-MONOMER"	
"putA"	"EG10801"	"PUTA-CPLX"			"PUTA-CPLX"	
"alaS"	"EG10034"	"CPLX0-7541"			"CPLX0-7541"	
"pepA"	"EG10694"			"EG10694-MONOMER"	"EG10694-MONOMER"	
"nadR"	"EG11335"			"PD04413"	"PD04413"	
"thrA"	"EG10998"					
"thrB"	"EG10999"					
"thrC"	"EG11000"					
"yaaJ"	"EG11555"					
"talB"	"EG11556"					
"mog"	"EG11511"					
"nhaA"	"EG10652"					
"ribF"	"EG11079"					
"ileS"	"EG10492"					
"ispH"	"EG11081"					
"rihC"	"EG11082"					
"dapB"	"EG10206"					
"carA"	"EG10134"					
"carB"	"EG10135"					
"caiD"	"EG11557"					
"caiC"	"EG11558"					
"caiB"	"EG11559"					
"caiT"	"EG11561"					
"kefC"	"EG10521"					
"folA"	"EG10326"					
"apaH"	"EG10048"					
"pdxA"	"EG10691"					
"araD"	"EG10055"					
"araA"	"EG10052"					
"araB"	"EG10053"					
"thiQ"	"EG11572"					
"thiP"	"EG11573"					
"tbpA"	"EG11574"					
"setA"	"EG11754"					
"leuD"	"EG11575"					
"leuC"	"EG11576"					
"leuB"	"EG11577"					
"leuA"	"EG11226"					
"ilvI"	"EG10500"					
"ilvH"	"EG10499"					
"ftsI"	"EG10341"					
"murE"	"EG10621"					
"murF"	"EG10622"					
"mraY"	"EG10604"					
"murD"	"EG10620"					
"murG"	"EG10623"					
"murC"	"EG10619"					
"ddlB"	"EG10214"					
"lpxC"	"EG10265"					
"mutT"	"EG10626"					
"coaE"	"EG12312"					
"guaC"	"EG10422"					
"nadC"	"EG11546"					
"ampD"	"EG10041"					
"aroP"	"EG10084"					
"aceE"	"EG10024"					
"aceF"	"EG10025"					
"lpd"	"EG10543"					
"acnB"	"EG12316"					
"speD"	"EG10962"					
"speE"	"EG10963"					
"cueO"	"EG12318"					
"gcd"	"EG10369"					
"hpt"	"EG20098"					
"can"	"EG12319"					
"panD"	"EG11747"					
"panC"	"EG11746"					
"panB"	"EG11675"					
"folK"	"EG11374"					
"mrcB"	"EG10605"					
"fhuA"	"EG10302"					
"fhuC"	"EG10304"					
"fhuD"	"EG10305"					
"fhuB"	"EG10303"					
"hemL"	"EG10432"					
"clcA"	"EG12331"					
"btuF"	"EG12334"					
"mtn"	"EG11090"					
"dgt"	"EG10225"					
"dapD"	"EG10207"					
"pyrH"	"EG11539"					
"dxr"	"EG12715"					
"ispU"	"G6092"					
"cdsA"	"EG10139"					
"lpxD"	"EG10316"					
"fabZ"	"EG11284"					
"lpxA"	"EG10545"					
"lpxB"	"EG10546"					
"accA"	"EG11647"					
"ldcC"	"G6094"					
"proS"	"EG10770"					
"metQ"	"EG11504"					
"metI"	"EG11737"					
"metN"	"EG11621"					
"gmhB"	"EG11736"					
"dkgB"	"EG11648"					
"gloB"	"G6099"					
"fadE"	"G6105"					
"lpcA"	"G6106"					
"pepD"	"EG10695"					
"gpt"	"EG10414"					
"phoE"	"EG10729"					
"proB"	"EG10768"					
"proA"	"EG10767"					
"mmuP"	"G6135"					
"mmuM"	"G6136"					
"argF"	"EG10067"					
"ykgE"	"G6176"					
"ykgF"	"G6177"					
"ykgG"	"G6178"					
"betA"	"EG10109"					
"betB"	"EG10110"					
"betT"	"EG10112"					
"yahI"	"G6188"					
"prpB"	"G6196"					
"prpC"	"G6198"					
"prpD"	"G6199"					
"codB"	"EG11327"					
"codA"	"EG11326"					
"cynT"	"EG10176"					
"cynS"	"EG10175"					
"cynX"	"EG10177"					
"lacZ"	"EG10527"					
"mhpA"	"M010"					
"mhpB"	"M011"					
"mhpC"	"M012"					
"mhpD"	"M013"					
"mhpF"	"M014"					
"mhpE"	"G6205"					
"mhpT"	"G6206"					
"frmB"	"G6208"					
"frmA"	"EG50010"					
"tauA"	"G6217"					
"tauB"	"G6218"					
"tauC"	"G6219"					
"tauD"	"EG12423"					
"hemB"	"EG10428"					
"ddlA"	"EG10213"					
"phoA"	"EG10727"					
"proC"	"EG10769"					
"aroL"	"EG10082"					
"mak"	"EG11288"					
"brnQ"	"EG12168"					
"malZ"	"EG10565"					
"acpH"	"EG11095"					
"tsx"	"EG11035"					
"ribD"	"EG11321"					
"ribE"	"EG11322"					
"thiL"	"G6234"					
"pgpA"	"EG10704"					
"dxs"	"G6237"					
"ispA"	"EG10508"					
"thiI"	"G6238"					
"panE"	"G6239"					
"cyoE"	"EG10182"					
"cyoD"	"EG10181"					
"cyoC"	"EG10180"					
"cyoB"	"EG10179"					
"cyoA"	"EG10178"					
"ampG"	"EG12183"					
"queC"	"G6245"					
"cof"	"G6246"					
"amtB"	"EG11821"					
"tesB"	"EG10995"					
"maa"	"G58"					
"acrB"	"EG11704"					
"acrA"	"EG11703"					
"apt"	"EG10051"					
"adk"	"EG10032"					
"hemH"	"EG10431"					
"gsk"	"EG11102"					
"ushA"	"EG11060"					
"copA"	"G6260"					
"ybaS"	"G6261"					
"tesA"	"EG11542"					
"allA"	"G6275"					
"gcl"	"EG11583"					
"hyi"	"G6277"					
"glxR"	"G6278"					
"ybbW"	"G6280"					
"allB"	"G6281"					
"glxK"	"G6283"					
"allC"	"G6285"					
"allD"	"G6286"					
"ybcF"	"EG12384"					
"purK"	"EG10796"					
"purE"	"EG10793"					
"lpxH"	"EG12666"					
"cysS"	"EG10196"					
"folD"	"EG10328"					
"cusC"	"G6320"					
"cusF"	"G6321"					
"cusB"	"G6322"					
"cusA"	"EG12367"					
"pheP"	"EG10708"					
"nfsB"	"EG50005"					
"entD"	"EG10262"					
"fepA"	"EG10293"					
"fes"	"EG10299"					
"entF"	"EG10264"					
"fepC"	"EG10295"					
"fepG"	"EG10298"					
"fepD"	"EG10296"					
"entS"	"EG11104"					
"fepB"	"EG10294"					
"entC"	"EG10261"					
"entE"	"EG10263"					
"entB"	"EG10260"					
"entA"	"EG10259"					
"dsbG"	"G6333"					
"citT"	"G6338"					
"citG"	"G6339"					
"citX"	"G6340"					
"citF"	"G6341"					
"citE"	"G6342"					
"citD"	"G6343"					
"dcuC"	"G6347"					
"pagP"	"EG12180"					
"lipA"	"EG11306"					
"lipB"	"EG11591"					
"dacA"	"EG10201"					
"mrdA"	"EG10606"					
"cobC"	"G6349"					
"nadD"	"G6350"					
"leuS"	"EG10532"					
"hscC"	"G6357"					
"rihA"	"G6358"					
"gltL"	"EG12663"					
"gltK"	"EG12662"					
"gltJ"	"EG12661"					
"gltI"	"G6359"					
"lnt"	"EG10168"					
"ubiF"	"G6365"					
"asnB"	"EG10092"					
"nagA"	"EG10632"					
"nagB"	"EG10633"					
"nagE"	"EG10635"					
"glnS"	"EG10390"					
"fldA"	"EG10318"					
"pgm"	"EG12144"					
"potE"	"EG10753"					
"speF"	"EG10964"					
"kdpC"	"EG10515"					
"kdpB"	"EG10514"					
"kdpA"	"EG10513"					
"dtpD"	"G6378"					
"gltA"	"EG10402"					
"sdhC"	"EG10933"					
"sdhD"	"EG10934"					
"sdhA"	"EG10931"					
"sdhB"	"EG10932"					
"sucA"	"EG10979"					
"sucB"	"EG10980"					
"sucC"	"EG10981"					
"sucD"	"EG10982"					
"mngA"	"EG13235"					
"mngB"	"EG13236"					
"cydA"	"EG10173"					
"cydB"	"EG10174"					
"ybgC"	"EG11110"					
"nadA"	"EG10630"					
"pnuC"	"EG11700"					
"zitB"	"G6393"					
"aroG"	"EG10079"					
"gpmA"	"EG11699"					
"galM"	"EG11698"					
"galK"	"EG10363"					
"galT"	"EG10366"					
"galE"	"EG10362"					
"modA"	"EG12427"					
"modB"	"EG10002"					
"modC"	"EG10152"					
"ybhA"	"EG11239"					
"pgl"	"G6397"					
"bioA"	"EG10117"					
"bioB"	"EG10118"					
"bioF"	"EG10121"					
"bioC"	"EG10119"					
"bioD"	"EG10120"					
"moaA"	"EG11595"					
"moaC"	"EG11666"					
"moaD"	"EG11597"					
"moaE"	"EG11598"					
"ybhO"	"G6406"					
"fiu"	"G6414"					
"glnQ"	"EG10389"					
"glnP"	"EG10388"					
"glnH"	"EG10386"					
"rhtA"	"EG12134"					
"ybiV"	"G6425"					
"fsaA"	"G6428"					
"moeB"	"EG10154"					
"moeA"	"EG10153"					
"iaaA"	"EG12407"					
"gsiA"	"G6429"					
"gsiB"	"G6430"					
"gsiC"	"G6431"					
"gsiD"	"G6432"					
"yliI"	"G6437"					
"dacC"	"EG10203"					
"ybjG"	"G6439"					
"mdfA"	"G6440"					
"grxA"	"EG10417"					
"potF"	"EG11629"					
"potG"	"EG11630"					
"potH"	"EG11631"					
"potI"	"EG11632"					
"artJ"	"EG11628"					
"artM"	"EG11627"					
"artQ"	"EG11626"					
"artI"	"EG11625"					
"artP"	"EG11624"					
"ltaE"	"G6455"					
"poxB"	"EG10754"					
"aqpZ"	"EG13270"					
"cydC"	"EG10012"					
"cydD"	"EG11405"					
"trxB"	"EG11032"					
"serS"	"EG10947"					
"dmsA"	"EG10232"					
"dmsB"	"EG10233"					
"dmsC"	"EG10234"					
"pflA"	"EG10028"					
"pflB"	"EG10701"					
"focA"	"EG11258"					
"serC"	"EG10946"					
"aroA"	"EG10073"					
"cmk"	"EG11265"					
"msbA"	"EG10613"					
"lpxK"	"EG11409"					
"kdsB"	"EG10519"					
"aspC"	"EG10096"					
"ompF"	"EG10671"					
"asnS"	"EG10094"					
"pncB"	"EG10742"					
"pepN"	"EG10696"					
"ssuB"	"EG12358"					
"ssuC"	"G6476"					
"ssuD"	"G6477"					
"ssuA"	"G6478"					
"ssuE"	"G6479"					
"pyrD"	"EG10807"					
"fabA"	"EG10273"					
"ompA"	"EG10669"					
"mgsA"	"G6497"					
"yccX"	"G6502"					
"hyaA"	"EG10468"					
"hyaB"	"EG10469"					
"hyaC"	"EG10470"					
"appC"	"EG11380"					
"appB"	"EG11379"					
"appA"	"EG10049"					
"torC"	"EG11815"					
"torA"	"EG11814"					
"agp"	"EG10033"					
"rutG"	"G6517"					
"rutF"	"G6518"					
"rutE"	"G6519"					
"rutD"	"G6520"					
"rutC"	"G6521"					
"rutB"	"G6522"					
"rutA"	"G6523"					
"putP"	"EG10802"					
"ghrA"	"G6539"					
"lpxL"	"EG10464"					
"solA"	"G6556"					
"pyrC"	"EG10806"					
"grxB"	"EG12688"					
"murJ"	"G6561"					
"plsX"	"EG11437"					
"fabH"	"EG10277"					
"fabD"	"EG11317"					
"fabG"	"EG11318"					
"acpP"	"EG50003"					
"fabF"	"EG12606"					
"pabC"	"EG11493"					
"tmk"	"EG12302"					
"ptsG"	"EG10787"					
"fhuE"	"EG10306"					
"thiK"	"G6566"					
"nagZ"	"G6567"					
"ndh"	"EG10649"					
"nagK"	"G6576"					
"potD"	"EG10752"					
"potC"	"EG10751"					
"potB"	"EG10750"					
"potA"	"EG10749"					
"purB"	"EG11314"					
"nudJ"	"G6580"					
"icd"	"EG10489"					
"dsbB"	"EG11393"					
"nhaB"	"EG11392"					
"dadA"	"EG11407"					
"dadX"	"EG11408"					
"ldcA"	"G6621"					
"emtA"	"G6622"					
"treA"	"EG11017"					
"dhaM"	"EG12399"					
"dhaL"	"G6626"					
"dhaK"	"G6627"					
"ychM"	"EG12392"					
"prs"	"EG10774"					
"ispE"	"EG11294"					
"hemA"	"EG10427"					
"kdsA"	"EG10518"					
"chaA"	"EG11753"					
"narK"	"EG10642"					
"narG"	"EG10638"					
"narH"	"EG10639"					
"narJ"	"EG10641"					
"narI"	"EG10640"					
"purU"	"EG11819"					
"galU"	"EG11319"					
"tdk"	"EG10994"					
"adhE"	"EG10031"					
"oppA"	"EG10674"					
"oppB"	"EG10675"					
"oppC"	"EG10676"					
"oppD"	"EG10677"					
"oppF"	"EG10678"					
"clsA"	"EG11608"					
"kch"	"EG11606"					
"tonB"	"EG11012"					
"trpA"	"EG11024"					
"trpB"	"EG11025"					
"trpC"	"EG11026"					
"trpD"	"EG11027"					
"trpE"	"EG11028"					
"btuR"	"EG10130"					
"acnA"	"EG11325"					
"ribA"	"EG11331"					
"pgpB"	"EG10705"					
"pyrF"	"EG10809"					
"fabI"	"EG11528"					
"sapD"	"EG12304"					
"puuP"	"G6643"					
"puuA"	"G6644"					
"puuD"	"G6645"					
"puuC"	"EG10036"					
"puuB"	"EG11822"					
"puuE"	"G6646"					
"pspE"	"EG10780"					
"ompG"	"G6657"					
"ycjG"	"G6661"					
"mpaA"	"G6662"					
"mppA"	"G6665"					
"trkG"	"EG11020"					
"ompN"	"G6700"					
"ydbK"	"G6701"					
"ldhA"	"G592"					
"feaB"	"G7961"					
"tynA"	"EG13139"					
"paaZ"	"G6708"					
"paaA"	"G6709"					
"paaB"	"G6710"					
"paaC"	"G6711"					
"paaD"	"G6712"					
"paaE"	"G6713"					
"paaF"	"G6714"					
"paaG"	"G6715"					
"paaH"	"G6716"					
"paaJ"	"G6718"					
"paaK"	"G6719"					
"aldA"	"EG10035"					
"ydcS"	"G6751"					
"ydcT"	"G6752"					
"ydcU"	"G6753"					
"ydcV"	"G6754"					
"ydcW"	"G6755"					
"ansP"	"G6764"					
"nhoA"	"G6770"					
"narV"	"EG10644"					
"narW"	"EG10645"					
"narY"	"EG10647"					
"narZ"	"EG10648"					
"narU"	"EG12153"					
"yddG"	"EG12713"					
"fdnG"	"EG11227"					
"fdnH"	"EG11228"					
"fdnI"	"EG11229"					
"adhP"	"G6775"					
"maeA"	"EG10948"					
"ddpF"	"G6777"					
"ddpD"	"G6778"					
"ddpC"	"G6779"					
"ddpB"	"G6780"					
"ddpA"	"G6781"					
"ddpX"	"G6782"					
"dosP"	"G6783"					
"gadC"	"G6786"					
"gadB"	"EG11490"					
"tam"	"G6806"					
"uxaB"	"EG11065"					
"yneH"	"G6810"					
"sad"	"G6811"					
"ydeA"	"EG11636"					
"eamA"	"EG11639"					
"ydfG"	"EG12345"					
"speG"	"G6842"					
"ynfE"	"G6845"					
"ynfF"	"G6846"					
"ynfG"	"G6847"					
"ynfH"	"G6848"					
"clcB"	"G6850"					
"mdtI"	"G6857"					
"mdtJ"	"G6858"					
"pntB"	"EG10745"					
"pntA"	"EG10744"					
"ydgI"	"G6861"					
"folM"	"G6862"					
"fumC"	"EG10358"					
"fumA"	"EG10356"					
"manA"	"EG10566"					
"malX"	"EG10563"					
"malY"	"EG10564"					
"add"	"EG10030"					
"tppB"	"G6877"					
"pdxY"	"G6879"					
"tyrS"	"EG11043"					
"pdxH"	"EG11487"					
"anmK"	"G6880"					
"sodC"	"G6886"					
"gloA"	"G6891"					
"grxD"	"EG12181"					
"sodB"	"EG10954"					
"cfa"	"EG11531"					
"ribC"	"EG11406"					
"pykF"	"EG10804"					
"lpp"	"EG10544"					
"sufE"	"G6905"					
"sufS"	"G6906"					
"sufC"	"G6908"					
"sufB"	"G6909"					
"sufA"	"EG11378"					
"ydiB"	"EG11234"					
"aroD"	"EG10076"					
"fadK"	"EG12357"					
"ppsA"	"EG10759"					
"aroH"	"EG10080"					
"btuD"	"EG10128"					
"btuE"	"EG10129"					
"btuC"	"EG10127"					
"pheT"	"EG10710"					
"pheS"	"EG10709"					
"thrS"	"EG11001"					
"pfkB"	"EG10700"					
"katE"	"EG10509"					
"chbF"	"EG10144"					
"nadE"	"EG10663"					
"astE"	"G6940"					
"astB"	"G6941"					
"astD"	"G6942"					
"astA"	"G6943"					
"astC"	"G6944"					
"nudG"	"G6954"					
"gdhA"	"EG10372"					
"selD"	"EG10943"					
"ansA"	"EG10045"					
"pncA"	"EG11135"					
"ydjI"	"G6960"					
"msrB"	"EG12394"					
"gapA"	"EG10367"					
"yeaE"	"G6967"					
"dmlA"	"G6986"					
"yeaV"	"G6987"					
"fadD"	"EG11530"					
"pabB"	"EG10683"					
"sdaA"	"EG10930"					
"manX"	"EG10567"					
"manY"	"EG10568"					
"manZ"	"EG10569"					
"purT"	"EG11809"					
"eda"	"EG10256"					
"edd"	"EG10257"					
"zwf"	"EG11221"					
"pykA"	"EG10803"					
"lpxM"	"EG10614"					
"znuA"	"G7017"					
"znuC"	"G7018"					
"znuB"	"EG12368"					
"nudB"	"EG11138"					
"aspS"	"EG10097"					
"torZ"	"G7022"					
"torY"	"G7023"					
"argS"	"EG10071"					
"otsA"	"EG11751"					
"otsB"	"EG11752"					
"araH_1"	"EG10059"					
"araG"	"EG10058"					
"araF"	"EG10057"					
"tyrP"	"EG11041"					
"pgsA"	"EG10706"					
"dcyD"	"G7038"					
"amyA"	"EG11387"					
"shiA"	"G7067"					
"amn"	"EG10039"					
"cobT"	"EG12151"					
"cobS"	"EG12150"					
"cobU"	"EG13238"					
"dacD"	"EG11893"					
"hisG"	"EG10449"					
"hisD"	"EG10447"					
"hisC"	"EG10446"					
"hisB"	"EG10445"					
"hisH"	"EG10450"					
"hisA"	"EG10444"					
"hisF"	"EG10448"					
"hisI"	"EG10451"					
"wzzB"	"G7090"					
"ugd"	"G7091"					
"gnd"	"EG10411"					
"wbbK"	"EG11985"					
"wbbJ"	"EG11984"					
"wbbI"	"EG11983"					
"wbbH"	"EG11982"					
"glf"	"EG11981"					
"rfbX"	"EG11980"					
"rfbC"	"EG11979"					
"rfbA"	"EG11978"					
"rfbD"	"EG12411"					
"rfbB"	"EG12412"					
"wcaK"	"G7096"					
"cpsG"	"EG10162"					
"cpsB"	"EG10161"					
"gmm"	"EG11789"					
"fcl"	"EG11788"					
"gmd"	"EG11787"					
"dcd"	"EG11418"					
"udk"	"EG11701"					
"gatD"	"EG12417"					
"gatC"	"EG12416"					
"gatB"	"EG12415"					
"gatA"	"EG12414"					
"gatZ"	"G7128"					
"gatY"	"EG12419"					
"fbaB"	"G7129"					
"thiD"	"G7135"					
"thiM"	"M007"					
"metG"	"EG10586"					
"yehW"	"EG12009"					
"yehX"	"EG12010"					
"yehY"	"EG12011"					
"osmF"	"EG12012"					
"bglX"	"EG12013"					
"dld"	"EG10231"					
"pbpG"	"EG12015"					
"cdd"	"EG10137"					
"preT"	"G7145"					
"preA"	"EG11289"					
"mglC"	"EG10594"					
"mglA"	"EG10592"					
"mglB"	"EG10593"					
"folE"	"EG11375"					
"yeiG"	"EG12026"					
"cirA"	"EG10155"					
"lysP"	"EG11337"					
"rihB"	"EG12030"					
"fruA"	"EG10336"					
"fruK"	"EG10337"					
"fruB"	"G7990"					
"setB"	"EG12034"					
"lpxT"	"G7146"					
"ccmE"	"EG12055"					
"ccmD"	"EG12169"					
"ccmC"	"EG12057"					
"ccmB"	"EG12058"					
"ccmA"	"EG12059"					
"napC"	"EG12060"					
"napB"	"EG12061"					
"napH"	"EG12062"					
"napG"	"EG12064"					
"napA"	"EG12067"					
"mqo"	"EG12069"					
"ompC"	"EG10670"					
"atoD"	"EG11669"					
"atoA"	"EG11670"					
"atoE"	"EG11671"					
"atoB"	"EG11672"					
"ubiG"	"EG11143"					
"nrdA"	"EG10660"					
"nrdB"	"EG10661"					
"glpQ"	"EG10399"					
"glpT"	"EG10401"					
"glpA"	"EG10391"					
"glpB"	"EG10392"					
"glpC"	"EG10393"					
"nudI"	"G7164"					
"arnB"	"G7166"					
"arnC"	"G7167"					
"arnA"	"G7168"					
"arnD"	"G7169"					
"arnT"	"G7170"					
"arnF"	"G7171"					
"menE"	"EG12437"					
"menC"	"EG11532"					
"menB"	"EG11368"					
"menH"	"EG12438"					
"menD"	"EG10579"					
"menF"	"EG12362"					
"nuoN"	"EG12093"					
"nuoM"	"EG11773"					
"nuoL"	"EG12092"					
